Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Additional Title(s)	Alternative Title(s)	ID numbers (STC)	Century	Century Status	Decade	Decade Status	Half Century	Half Century Status	ID numbers (marc, bibno)	Keyword Terms	Author(s)	Rough-draft genre (experimental, incomplete)	Notes	Publication Place(s)	Publisher(s)	Quarter Century	Quarter Century Status	BIBNO tag(s)	STC tag(s)	VID tag(s)	Title	Year	Year Status	URL	Match-begin corpus position	Match-end corpus position
149	A09998	it appears by the testimony of Jesus Christ himself and his Apostles . 11 Bare personal succession is not to	<<< be stood >>>	on , though the outward form be therein observed . 12 This doctrine being well practised breeds no confusion in	it_PPH1 appears_VVZ by_II the_AT testimony_NN1 of_IO Jesus_NP1 Christ_NP1 himself_PPX1 and_CC his_APPGE Apostles_NN2 ._YSTP 11_MC Bare_JJ personal_JJ succession_NN1 is_VBZ not_XX to_TO	<<< be_VBI stood_VVN >>>	on_RP ,_YCOM though_CS the_AT outward_JJ form_NN1 be_VBI therein_RR observed_VVN ._YSTP 12_MC This_DD1 doctrine_NN1 being_VBG well_RR practised_JJ breeds_NN2 no_AT confusion_NN1 in_II	_NO_TITLES_LISTED_	Sermons sur les trois premiers chapitres du Cantique des cantiques. English | Sermons sur les trois premiers chapitres du Cantique des cantiques. | Master Bezaes sermons upon the three chapters of the canticle of canticles.	STC (2nd ed.) 2025. | Madan, I, p. 22.	1500_1599	CERTAIN	1580_1589	CERTAIN	1550_1599	CERTAIN	99837556	Bible. -- O.T. -- Song of Solomon, I-III -- Commentaries.	Bèze, Théodore de, 1519-1605. | Harmar, John, 1555?-1613,	SERMONS	Translation by John Harmar of: Bèze, Théodore de. Sermons sur les trois premiers chapitres du Cantique des cantiques. | Bookseller's name from STC. | Reproduction of the original in the the Henry E. Huntingtion Library and Art Gallery.	Oxford	Printed by Ioseph Barnes, and are to be sould [in London by T. Cooke] in Pauls Church-yard at the Tygers Hea	1575_1599	CERTAIN	umi: 99837556	S: 2025	1883	Master Bezaes sermons vpon the three chapters of the canticle of canticles wherein are handled the chiefest points of religion controversed and debated betweene vs and the aduersarie at this day, especially touching the true Iesus Christ and the true Church, and the certaine &amp; infallible marks both of the one and of the other. Translated out of French into English by Iohn Harmar ...	1587	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=148	186278212	186278213
150	A10053	vp &#x14d; my Princely Masters monument , and burn some incense to his memories excellence . 3 All the world	<<< were sat >>>	, to see , & hearken , how his Highness hopeful , youthful age should be employed , for in	vp_NNU &#x14d;_NULL my_APPGE Princely_JJ Masters_NN2 monument_NN1 ,_YCOM and_CC burn_VV0 some_DD incense_NN1 to_II his_APPGE memories_NN2 excellence_NN1 ._YSTP 3_MC All_DB the_AT world_NN1	<<< were_VBDR sat_VVN >>>	,_YCOM to_TO see_VVI ,_YCOM &_CC hearken_VV0 ,_YCOM how_RRQ his_APPGE Highness_NN1 hopeful_JJ ,_YCOM youthful_JJ age_NN1 should_VM be_VBI employed_VVN ,_YCOM for_IF in_II	_NO_TITLES_LISTED_	Prince Henries first anniversarie.	STC (2nd ed.) 20299. | Madan, I, p. 94.	1600_1699	CERTAIN	1610_1619	CERTAIN	1600_1649	CERTAIN	99850428	Henry Frederick, -- Prince of Wales, -- 1594-1612.	Price, Daniel, 1581-1631.	UNCLASSIFIED	Running title reads: Prince Henries first anniversarie. | Reproduction of the original in the Henry E. Huntington Library and Art Gallery.	Oxford	Printed by Ioseph Barne	1600_1624	CERTAIN	umi: 99850428	S: 20299	177261	Prince Henry his first anniversary. By Daniel Price Doctor in Divinity, one of his Highnesse chaplaines.	1613	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=149	187158289	187158290
151	A10111	, and of a troubled mind that could not discern that which might be discerned , and so not to	<<< be stood >>>	upon by us , that so much allege it in this cause , observe that God in answer to Elias	,_YCOM and_CC of_IO a_AT1 troubled_JJ mind_NN1 that_CST could_VM not_XX discern_VVI that_DD1 which_DDQ might_VM be_VBI discerned_VVN ,_YCOM and_CC so_RR not_XX to_TO	<<< be_VBI stood_VVN >>>	upon_II by_II us_PPIO2 ,_YCOM that_DD1 so_RG much_RR allege_VV0 it_PPH1 in_II this_DD1 cause_NN1 ,_YCOM observe_VV0 that_CST God_NP1 in_II31 answer_II32 to_II33 Elias_NP1	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	STC (2nd ed) 20369.	1500_1599	CERTAIN	1580_1589	CERTAIN	1550_1599	CERTAIN	99837014	Bible. -- N.T. -- Galatians -- Commentaries -- Early works to 1800.	Prime, John, 1550-1596.	ESSAY_GENERAL	Bookseller's name from STC. | Imperfect; title page torn, affecting imprint. | Reproduction of the original in the Bodleian Library.	Oxford	Printed by Ioseph Barnes and are to be sold [by T. Cooke] in Pauls Church-yard at the signe of the Tygers hea	1575_1599	CERTAIN	umi: 99837014	S: 20369	1318	An exposition, and observations upon Saint Paul to the Galathians togither with incident quæstions debated, and motiues remoued, by Iohn Prime.	1587	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=150	187736471	187736472
152	A10197	for matter , form , workemanshipp , situation , neither is there any Arc upon the top whereof they may	<<< be sat >>>	, & if you will make the Quire resemble the Arc , you must then place them upon the roof	for_IF matter_NN1 ,_YCOM form_VV0 ,_YCOM workemanshipp_VV0 ,_YCOM situation_NN1 ,_YCOM neither_DD1 is_VBZ there_EX any_DD Arc_NN1 upon_II the_AT top_NN1 whereof_RRQ they_PPHS2 may_VM	<<< be_VBI sat_VVN >>>	,_YCOM &_CC if_CS you_PPY will_VM make_VVI the_AT Quire_NN1 resemble_VVI the_AT Arc_NP1 ,_YCOM you_PPY must_VM then_RT place_VVI them_PPHO2 upon_II the_AT roof_NN1	_NO_TITLES_LISTED_	Quench-coale | Quenche-coale. Or A briefe disquisition and inquirie, in what place of the church or chancell the Lords-table ought to be situated, especially when the Sacrament is administered?. | Briefe disquisition and inquirie, in what place of the church or chancell the Lords-table ought to be situated, especially when the Sacrament is administered?.	STC (2nd ed.) 20474.	1600_1699	CERTAIN	1630_1639	CERTAIN	1600_1649	CERTAIN	99837341	Shelford, Robert. -- Five pious and learned discourses -- Controversial literature -- Early works to 1800. | Reeve, Edmund, -- d. 1660. -- Communion book catechisme expounded, according to Gods holy word, and the established doctrine of the Church -- Controversial literature -- Early works to 1800. | Pocklington, John. -- Altare Christianum -- Controversial literature -- Early works to 1800. | Heylyn, Peter, -- 1600-1662. -- Coale from the altar -- Controversial literature -- Early works to 1800. | Church of England -- Liturgy -- Controversial literature -- Early works to 1800. | Altars -- Early works to 1800.	Prynne, William, 1600-1669.	RELIGION_ANTI_CATHOLICISM	A well-wisher to the truth of God, and the Church of England = William Prynne. | A reply to &quot;Five pious and learned discourses&quot; by Robert (not Richard) Shelford, &quot;The communion book catechisme expounded, according to Gods holy word, and the established doctrine of the Church&quot; by Edmund Reeve, &quot;Altare Christianum&quot; by John Pocklington, and &quot;A coale from the altar&quot; by Peter Heylyn. | Identification of printer from STC. | Cf. Folger catalogue, which gives signatures: a-k4 A-2Y4. | The text proper begins new pagination and register. | Variant: with two final errata leaves. | Reproduction of the original in the British Library.	Amsterdam	Printed [at the Richt Right press	1625_1649	CERTAIN	umi: 99837341	S: 20474	1659	A quench-coale. Or A briefe disquisition and inquirie, in vvhat place of the church or chancell the Lords-table ought to be situated, especially vvhen the Sacrament is administered? VVherein is evidently proved, that the Lords-table ought to be placed in the midst of the church, chancell, or quire north and south, not altar-wise, with one side against the wall: that it neither is nor ought to be stiled an altar; that Christians have no other altar but Christ alone, who hath abolished all other altars, which are either heathenish, Jewish, or popish, and not tollerable among Christians. All the pretences, authorities, arguments of Mr. Richard Shelford, Edmond Reeve, Dr. John Pocklington, and a late Coale from the altar, to the contrary in defence of altars, calling the Lords-table an altar, or placing it altarwise, are here likewise fully answered and proved to be vaine or forged. By a well-wisher to the truth of God, and the Church of England.	1637	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=151	189426366	189426367
153	A10268	to believe Mr. Calvin himself , are not only humane , but also divine , and so may the better	<<< be stood >>>	upon . You say well ( may some reply ) so they be good and wholesome customs , Objections against	to_TO believe_VVI Mr._NNB Calvin_NP1 himself_PPX1 ,_YCOM are_VBR not_XX only_RR humane_JJ ,_YCOM but_CCB also_RR divine_JJ ,_YCOM and_CC so_RR may_VM the_AT better_RRR	<<< be_VBI stood_VVN >>>	upon_II ._YSTP You_PPY say_VV0 well_RR (_YBL may_VM some_DD reply_VVI )_YBR so_CS they_PPHS2 be_VBI good_JJ and_CC wholesome_JJ customs_NN2 ,_YCOM Objections_NN2 against_II	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	STC (2nd ed.) 20555.	1600_1699	CERTAIN	1630_1639	CERTAIN	1600_1649	CERTAIN	99850706	Sermons, English -- 17th century.	Quelch, William.	SERMONS	Printer's name from STC. | The first leaf is blank. | Reproduction of the original in the Union Theological Seminary (New York, N.Y.). Library.	London	Printed by M[iles] F[lesher] for Nathaniel Butter neare S. Austins Gate at the signe of the Pyde Bul	1625_1649	CERTAIN	umi: 99850706	S: 20555	15930	Church-customes vindicated in tvvo sermons preached at Kingstone upon Thames: the one at the primary visitation of the Right Reverend Father in God Richard by the grace of God late L.B. of Winton, anno 1628. The other at the first metropoliticall visitation of the Most Reverend Father in God William by the grace of God Lord Arch-Bishop of Canterbury his grace, &amp;c. July 9. 1635. By William Quelch B.D. and R. of East-horsly Surrey.	1636	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=152	191351151	191351152
154	A10319	, and Quails for meat , had likewise at this time compassion enough to fill their bowels and the companies	<<< being sat >>>	down ( now not more hungring after the meat than the miracle that could provide it ) found that two	,_YCOM and_CC Quails_VVZ for_IF meat_NN1 ,_YCOM had_VHD likewise_RR at_II this_DD1 time_NNT1 compassion_NN1 enough_RR to_TO fill_VVI their_APPGE bowels_NN2 and_CC the_AT companies_NN2	<<< being_VBG sat_VVN >>>	down_RP (_YBL now_RT not_XX more_DAR hungring_NN1 after_II the_AT meat_NN1 than_CSN the_AT miracle_NN1 that_CST could_VM provide_VVI it_PPH1 )_YBR found_VVD that_CST two_MC	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	STC (2nd ed.) 20603.	1600_1699	CERTAIN	1630_1639	CERTAIN	1600_1649	CERTAIN	99850760	Sermons, English -- 17th century.	Rainbowe, Edward, 1608-1684.	SERMONS	Printer's name from STC. | Reproduction of the original in the British Library.	London	Printed [by John Beale] for Nicholas Vavasour, and are to be sold at his shop at the Inner-Temple, neare the Churc	1625_1649	CERTAIN	umi: 99850760	S: 20603	15986	Labour forbidden, and commanded. A sermon preached at St. Pauls Church, September 28. 1634. By Edvvard Rainbovve, fellow of Magdalen Colledge in Cambridge.	1635	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=153	191693115	191693116
155	A10335	assertion , after a preferring of them before Gothofrede , if not in learning , yet authority , needless to	<<< be stood >>>	on ; ( for though he were not better learned then they were , yet might he see by S.	assertion_NN1 ,_YCOM after_CS a_AT1 preferring_NN1 of_IO them_PPHO2 before_II Gothofrede_NP1 ,_YCOM if_CS not_XX in_II learning_NN1 ,_YCOM yet_RR authority_NN1 ,_YCOM needless_JJ to_TO	<<< be_VBI stood_VVN >>>	on_RP ;_YSCOL (_YBL for_IF though_CS he_PPHS1 were_VBDR not_XX better_RRR learned_VVN then_RT they_PPHS2 were_VBDR ,_YCOM yet_RR might_VM he_PPHS1 see_VVI by_II S._NP1	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	STC (2nd ed.) 20616.	1500_1599	CERTAIN	1590_1599	CERTAIN	1550_1599	CERTAIN	99850787	Gager, William, -- fl. 1580-1619. | Theater -- England -- Moral and ethical aspects -- Early works to 1800.	Rainolds, John, 1549-1607. | Gentili, Alberico, 1552-1608.	LETTER	Printer's name and place of publication from STC. | Reproduction of the original in the Henry E. Huntington Library and Art Gallery.	Middelburg	Printed by Richard Schilders	1575_1599	CERTAIN	umi: 99850787	S: 20616	16014	Th'overthrow of stage-playes, by the way of controversie betwixt D. Gager and D. Rainoldes wherein all the reasons that can be made for them are notably refuted; th'objections aunswered, and the case so cleared and resolved, as that the iudgement of any man, that is not froward and perverse, may easelie be satisfied. Wherein is manifestly proved, that it is not onely vnlawfull to bee an actor, but a beholder of those vanities. Wherevnto are added also and annexed in th'end certeine latine letters betwixt the sayed Maister Rainoldes, and D. Gentiles, reader of the civill law in Oxford, concerning the same matter.	1599	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=154	191837472	191837473
156	A10405	said unto the under captain & to the soldiers : except these abide in the ship ye c &#x101; not	<<< be sat >>>	. Then the soldiers cut of the rope of the boat , & let it fail away . And when	said_VVD unto_II the_AT under_II captain_NN1 &_CC to_II the_AT soldiers_NN2 :_YCOL except_CS these_DD2 abide_VV0 in_II the_AT ship_NN1 ye_PPY c_RG &#x101;_NULL not_XX	<<< be_VBI sat_VVN >>>	._YSTP Then_RT the_AT soldiers_NN2 cut_NN1 of_IO the_AT rope_NN1 of_IO the_AT boat_NN1 ,_YCOM &_CC let_VV0 it_PPH1 fail_VVI away_RL ._YSTP And_CC when_CS	_NO_TITLES_LISTED_	Psalter of Dauid. | Psalter of David. | Newe Testament in Englysshe.	STC (2nd ed.) 2069. | Darlow &amp; Moule (Rev. 1968), 52.	1500_1599	CERTAIN	1540_1549	CERTAIN	1500_1549	CERTAIN	99856677	_NO_TERMS_FOUND_	_NO_AUTHORS_LISTED_	RELIGION_BIBLE	Bible. English. Great Bible. | The Great Bible version. | In three parts; &quot;The Psalter of Dauid&quot; has caption title, and &quot;The newe Testament in Englysshe&quot; has divisional title page; registers and pagination separate. | Imperfect; title page mutilated with some loss of print. | Reproduction of the original in the British Library.	London	_NO_PUBLISHERS_LISTED_	1525_1549	CERTAIN	umi: 99856677	S: 2069	22290	The Byble in Englyshe that is to saye, the content of all the holye scrypture, bothe of the olde and newe Testament, truly translated after the veryte of the Hebrue and Greke textes, by the diligent studye of dyuers excellent lerned [men e]xperte in the fore[saide] tongues.	1540	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=155	197059196	197059197
157	A10589	as he conceived , it was a business rather of private honour , then the good of the Country which	<<< was stood >>>	upon . That it can not be denied , but that he loses nothing of his honour , who restores	as_CSA he_PPHS1 conceived_VVD ,_YCOM it_PPH1 was_VBDZ a_AT1 business_NN1 rather_RR of_IO private_JJ honour_NN1 ,_YCOM then_RT the_AT good_JJ of_IO the_AT Country_NN1 which_DDQ	<<< was_VBDZ stood_VVN >>>	upon_II ._YSTP That_CST it_PPH1 can_VM not_XX be_VBI denied_VVN ,_YCOM but_CCB that_CST he_PPHS1 loses_VVZ nothing_PN1 of_IO his_APPGE honour_NN1 ,_YCOM who_PNQS restores_VVZ	_NO_TITLES_LISTED_	Mercurius Gallabelgicus his relation since March last, Anno 1614.	STC (2nd ed.) 20862.	1600_1699	CERTAIN	1610_1619	CERTAIN	1600_1649	CERTAIN	99840323	Europe -- History -- 1517-1648 -- Early works to 1800.	Isselt, Michael von, d. 1597. | Booth, Robert, d. 1657,	REPORTAGE	Printer's name from STC. | Translated by R. Boothe.--STC. | Running title reads: Mercurius Gallabelgicus his relation since March last, Anno 1614. | Print show-through; pages stained. | Reproduction of the original in the British Library.	London	Imprinted [by F. Kingston] for William Welby, and are to be sold at his shop in Pauls church-yard, at the signe of the Swa	1600_1624	CERTAIN	umi: 99840323	S: 20862	4814	A relation of all matters passed especially in France and the Low-Countries, touching the causes of the warre now in Cleueland. Together with such occurrences of note as have happened in Spaine, Italie, England, Germany, Hungarie and Transyluania, since March last to this present, 1614. Translated according to the originall of Mercurius Gallo-Belgicus.	1614	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=156	199639970	199639971
158	A10650	, who for the joy that was set before him , endured the Cross , despising the shame , and	<<< is sat >>>	down at the right hand of the Throne of God , Heb. 12.1 , 2 , 3 . Lastly ,	,_YCOM who_PNQS for_IF the_AT joy_NN1 that_CST was_VBDZ set_VVN before_II him_PPHO1 ,_YCOM endured_VVD the_AT Cross_NN1 ,_YCOM despising_VVG the_AT shame_NN1 ,_YCOM and_CC	<<< is_VBZ sat_VVN >>>	down_RP at_II the_AT right_JJ hand_NN1 of_IO the_AT Throne_NN1 of_IO God_NP1 ,_YCOM Heb._NP1 12.1_MC ,_YCOM 2_MC ,_YCOM 3_MC ._YSTP Lastly_RR ,_YCOM	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	STC (2nd ed.) 20927.	1600_1699	CERTAIN	1630_1639	CERTAIN	1600_1649	CERTAIN	99851012	Bible. -- O.T. -- Psalms CX -- Commentaries -- Early works to 1800. | Sermons, English -- 17th century.	Reynolds, Edward, 1599-1676.	SERMONS	With a final two-leaf table. | Probably issued with his: Three treatises, 1632. | Reproduction of the original in the Union Theological Seminary (New York, N.Y.). Library.	London	Imprinted by Felix Kyngston for Robert Bostocke, and are to be sold at his shop in Pauls Churchyard at the signe of the Kings Hea	1625_1649	CERTAIN	umi: 99851012	S: 20927	16264	An explication of the hundreth and tenth Psalme wherein the severall heads of Christian religion therein contained; touching the exaltation of Christ, the scepter of his kingdome, the character of his subjects, his priesthood, victories, sufferings, and resurrection, are largely explained and applied. Being the substance of severall sermons preached at Lincolns Inne; by Edward Reynoldes sometimes fellow of Merton Colledge in Oxford, late preacher to the foresaid honorable society, and rector of the church of Braunston in Northhampton-shire.	1632	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=157	200636490	200636491
159	A10675	cruel wars that ensued when the Gospel was refused . red , and power was given to him that who	<<< was Sat >>>	&#x101; . sat thereon , to take peace from the earth and that they should kill one another , and	cruel_JJ wars_NN2 that_CST ensued_VVD when_RRQ the_AT Gospel_NN1 was_VBDZ refused_VVN ._YSTP red_JJ ,_YCOM and_CC power_NN1 was_VBDZ given_VVN to_II him_PPHO1 that_DD1 who_PNQS	<<< was_VBDZ Sat_VVN >>>	&#x101;_NULL ._YSTP sat_VVD thereon_RR ,_YCOM to_TO take_VVI peace_NN1 from_II the_AT earth_NN1 and_CC that_CST they_PPHS2 should_VM kill_VVI one_PPX121 another_PPX122 ,_YCOM and_CC	_NO_TITLES_LISTED_	Newe Testament of our Lord Iesus Christ. | Newe Testament of our Lord Jesus Christ.	STC (2nd ed.) 2095. | Darlow &amp; Moule (Rev. 1968), 116.	1500_1599	CERTAIN	1560_1569	CERTAIN	1550_1599	CERTAIN	99856535	_NO_TERMS_FOUND_	Whittingham, William, d. 1579, | Gilby, Anthony, ca. 1510-1585, | Sampson, Thomas, 1517?-1589,	RELIGION_EPISTLES	Bible. English. Geneva. | The Geneva version, translated by William Whittingham, Anthony Gilby, Thomas Sampson, and perhaps others. With the Apocrypha. | Place of publication and actual publication date from STC. | Some leaves lacking in number only. | The New Testament, with title &quot;The Newe Testament of our Lord Iesus Christ&quot;, has separate register and foliation and imprint date M.D.LXI. | Includes index. | On 8 January 1561 John Bodley was granted a 7-year licence for sole printing of the Geneva version in England; see Patent Roll, 3 Eliz., pt. 13, m.34--Cf. STC. | Imperfect; cropped affecting margins. | Reproduction of the original in the University of Illinois (Urbana-Champaign Campus). Library.	Geneva	[s.n.	1550_1574	CERTAIN	umi: 99856535	S: 2095	22103	The Bible and Holy Scriptures conteyned in the Olde and Newe Testament. Translated according to the Ebrue and Greke, and conferred with the best translations in diuers languges. VVith moste profitable annotations vpon all the hard places, and other things of great importance as may appeare in the epistle to the reader.	1561	AMBIGUOUS	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=158	203239815	203239816
